token,known
EXALTASION,1
EXPECTASION,0
EXTALIS,0
FABIAN,1
FACUNOO,0
FAOJNDO,0
FARIL,0
FAUSTIMO,0
FAUSTINA,1
FAUSTINO,1
FAUSTO,1
FEDERICO,1
FEDERISI,0
FELIPA,1
FELIPE,1
FELIS,0
FELISIANO,1
FELISIAO,0
FELISITA,1
FELISITAS,0
FELISITO,1
FELIX,1
FERINA,0
FERMAN,0
FERMIN,1
FERMINA,1
FERNANDA,1
FERNANDO,1
FERNANOO,0
FIDEL,1
FIDELIA,1
FIDELINA,1
FIDENAO,0
FIDENSIO,1
FILANDRO,1
FILAOELFO,0
FILCMENA,0
FILIPA,1
FILOMENA,1
FIOELINA,0
FIOENSIO,0
FLCR,0
FLCRENSIA,0
FLOR,1
FLORA,1
FLORENSA,0
FLORENSIA,1
FLORENTINA,1
FLORENTINO,1
FORFINO,0
FRAKIL,0
FRANCO,1
FRANDISDO,0
FRANSI,0
FRANSIASCA,0
FRANSISC;,0
FRANSISCA,1
FRANSISCO,1
FRASISCOP,0
FRAUILAN,0
FRED,0
FREDENSIADO,0
FREDI,1
FREDIS,0
FREDOI,0
FREOI,0
FREOIS,0
FREOT,0
FROILAN,1
FULJENSIO,1
GABINO,1
GABIO,0
GABRIEL,1
GABRIELA,1
GABRIEU,0
GALILEO,1
GALILO,0
GAMAOIEL,0
GAUDENSIO,0
GCNSALO,0
GCRARDO,0
GLADIS,1
GLASIS,0
GLIMERSINOA,0
GLORIA,1
GONSALO,1
GOTO,0
GRASIELA,1
GREGARIO,0
GREGCRIO,0
GREGORIA,1
GREGORIO,1
GREGRORIO,0
GRESORJO,0
GRIPINA,0
GUADALUPE,1
GUALBERTO,0
GUIMAS,1
GUIYERMA,1
GUIYERMAS,0
GUIYERMINA,1
GUIYERMO,1
GUIYERO,0
GUIYSRMO,0
GUMERSINDA,1
GUMERSINDO,1
GUMERSINOA,0
GUMERSINOO,0
GUMESINDO,0
GUSTABO,1
I,0
IA,0
IAS,0
IBAN,1
IBEL,0
IDALIA,0
IDELFONSO,1
IELD,0
IGNASIA,1
IGNASIO,1
IJIIO,0
IJINIA,1
IJINIO,1
IKES,0
ILARI,0
ILARIA,1
ILARIO,1
ILDA,1
ILDEFONSO,0
ILDO,1
IMELDA,1
IN,0
INES,1
INFRAIN,0
INJINIO,0
INO,0
INOA,0
INOALESIO,0
INOCSNTE,0
INOOENSIO,0
INOSEKSIO,0
INOSENSIO,1
INOSENTE,1
IO,0
IOSESIO,0
IPOLITO,1
IRA,0
IRENE,1
IRIEO,0
IRINEA,1
IRINEO,1
IRIS,1
IRMA,1
IS,0
ISAAC,1
ISABE,0
ISABEL,1
ISAIAS,1
ISAURA,1
ISIDCRO,0
ISIDRA,1
