MUNI1,MUNI2
NUEVA TRINIDAD,ZONA EN PROCESO DE DEMARCACION
ARCATAO,ZONA EN PROCESO DE DEMARCACION
NUEVA TRINIDAD,ARCATAO
SAN JOSE LAS FLORES,SAN ISIDRO LABRADOR
ARCATAO,SAN ANTONIO DE LA CRUZ
ARCATAO,NOMBRE DE JESUS
COMASAGUA,LA LIBERTAD
SAN JOSE GUAYABAL,SUCHITOTO
EL CARMEN,SAN RAFAEL CEDROS
COJUTEPEQUE,CANDELARIA
CANDELARIA,SAN EMIGDIO
SANTA CRUZ ANALQUITO,SAN EMIGDIO
SAN MIGUEL TEPEZONTES,SAN EMIGDIO
JERUSALEN,MERCEDES LA CEIBA
SAN MIGUEL TEPEZONTES,PARAISO DE OSORIO
SAN MIGUEL TEPEZONTES,SAN JUAN TEPEZONTES
JERUSALEN,SANTA MARIA OSTUMA
MERCEDES LA CEIBA,SANTA MARIA OSTUMA
PARAISO DE OSORIO,SANTA MARIA OSTUMA
SANTA MARIA OSTUMA,SAN PEDRO NONUALCO
SAN JUAN TEPEZONTES,SAN PEDRO NONUALCO
OLOCUILTA,SAN FRANCISCO CHINAMECA
SAN FRANCISCO CHINAMECA,SAN ANTONIO MASAHUAT
SAN MIGUEL TEPEZONTES,SAN ANTONIO MASAHUAT
SAN ANTONIO MASAHUAT,SAN JUAN TEPEZONTES
OLOCUILTA,CUYULTITAN
SAN JUAN TALPA,CUYULTITAN
SAN JUAN TALPA,SAN LUIS TALPA
SAN JUAN TEPEZONTES,SANTIAGO NONUALCO
SAN FRANCISCO CHINAMECA,SAN MIGUEL TEPEZONTES
SAN MIGUEL TEPEZONTES,SANTA MARIA OSTUMA
SAN MIGUEL TEPEZONTES,SAN PEDRO NONUALCO
OLOCUILTA,LA LIBERTAD
SAN PEDRO NONUALCO,SANTIAGO NONUALCO
TENANCINGO,TEJUTEPEQUE
TENANCINGO,ILOBASCO
HONDURAS,VICTORIA
NOMBRE DE JESUS,VICTORIA
NOMBRE DE JESUS,SENSUNTEPEQUE
SENSUNTEPEQUE,HONDURAS
VILLA DOLORES,HONDURAS
ZACATECOLUCA,SAN LUIS LA HERRADURA
SAN VICENTE,TECOLUCA
JERUSALEN,VERAPAZ
SANTA MARIA OSTUMA,GUADALUPE
SAN PEDRO NONUALCO,GUADALUPE
SAN PEDRO NONUALCO,SAN JUAN NONUALCO
GUADALUPE,SAN JUAN NONUALCO
EL CARMEN,SANTO DOMINGO
SAN ISIDRO,SAN SEBASTIAN
SAN ISIDRO,SAN ESTEBAN CATARINA
SAN ISIDRO,SANTA CLARA
VILLA DOLORES,SANTA CLARA
SENSUNTEPEQUE,SANTA CLARA
SANTA CLARA,APASTEPEQUE
APASTEPEQUE,SAN ILDEFONSO
TECOLUCA,JIQUILISCO
JIQUILISCO,PUERTO EL TRIUNFO
SAN AGUSTIN,JIQUILISCO
CONCEPCION BATRES,USULUTAN
EL TRANSITO,JUCUARAN
CONCEPCION BATRES,EL TRANSITO
EREGUAYQUIN,CONCEPCION BATRES
SANTA ELENA,EREGUAYQUIN
EREGUAYQUIN,SAN RAFAEL ORIENTE
SAN RAFAEL ORIENTE,SANTA ELENA
SANTIAGO DE MARIA,ALEGRIA
ALEGRIA,JUCUAPA
JUCUAPA,SANTIAGO DE MARIA
SAN VICENTE,BERLIN
SAN VICENTE,SAN AGUSTIN
BERLIN,MERCEDES UMAÐA
SAN VICENTE,MERCEDES UMAÐA
NUEVA GRANADA,ESTANZUELAS
SAN ILDEFONSO,ESTANZUELAS
EL TRIUNFO,NUEVA GRANADA
SAN BUENAVENTURA,EL TRIUNFO
HONDURAS,NUEVO EDEN DE SAN JUAN
HONDURAS,SAN GERARDO
