"token","known"
"MONTANO",1
"MONTENEGRO",1
"MONTERROSA",1
"MONTES",1
"MONTESINOS",1
"MONTOYA",1
"MORALES",1
"MORAN",1
"MORATAYA",1
"MOREIRA",1
"MORENO",1
"MOS",0
"MOTENEGRO",0
"MOU",0
"MOYA",1
"MUANGO",0
"MUJICA",1
"MUNOS",1
"MURIYO",1
"MURSIA",1
"MUSO",1
"NABARO",0
"NABARRETE",1
"NABARRO",1
"NABAS",1
"NAJARRO",0
"NEJIA",0
"NEMJIBAR",0
"NIRAS",0
"NOLASCO",0
"NONJE",0
"NUNES",1
"O",0
"OBISPO",1
"OCHOA",1
"OE",0
"OELECN",0
"OERAS",0
"OG",0
"OIAS",0
"OJEDA",1
"OLASCO",0
"OLIBA",1
"OLIBANO",1
"OLIBAR",1
"OLIBARE5",0
"OLIBARES",1
"OLMEDO",1
"ONICO",0
"ONJE",0
"OPORTO",1
"ORAMTE",0
"ORANTE",1
"ORANTES",0
"OREILANA",0
"ORELUNA",1
"OREYANA",1
"OREYANO",0
"ORREYANA",0
"ORTEGA",1
"ORTIS",1
"OSARIO",0
"OSORIO",1
"OSOS",1
"OTERO",1
"OUBCN",0
"OUBGN",0
"OUBOM",0
"OUBON",0
"OUQUE",0
"OURAN",0
"OYOLA",1
"PABLO",1
"PACHECO",1
"PADIYA",1
"PAIS",1
"PALA",0
"PALASIOS",1
"PALCMARES",0
"PALENSIA",1
"PALMA",1
"PALOMARES",1
"PALOO",0
"PANAJA",1
"PANAMENO",1
"PANANEFLO",0
"PANIAGUA",1
"PAOIYAS",0
"PARADA",1
"PAS",1
"PASTRAM",0
"PASTRANO",1
"PATRIS",1
"PAUSIOS",0
"PEA",0
"PECORINI",1
"PELERA",0
"PENA",1
"PENAS",0
"PENATE",1
"PERASA",1
"PERDOMO",1
"PEREIRA",1
"PERES",1
"PERLENA",0
"PERLERA",0
"PEROSA",0
"PERU",1
"PEURA",0
"PICHIN7E",0
"PICHINTE",1
"PINEDA",1
"PINEDAS",0
"PINTO",1
"PLATERO",1
"POCASANGRE",1
"POLANCO",1
"POMCA",0
"PONSE",1
"PORT",0
"PORTIYO",1
"POSADA",1
"POUNCO",0
"PRESA",1
"PRUDENSIO",1
"QUEBEDO",1
"QUESADA",1
"QUESAOA",0
"QUINTANILU",0
"QUINTANIYA",1
"QUINTEROS",1
"QURAN",0
"RABDA",0
"RAFAEL",1
"RAIMUNOO",0
"RAJOS",0
"RAMIRES",1
"RAMIRIOS",0
"RAMIRO",1
"RAMOS",1
"RAUBUSCH",1
"RAUDA",1
"RAUOA",0
"RCHERO",0
"RCMERO",0
"RCOAS",0
"RCORIGUES",0
"RCSALES",0
"REALEJENIO",0
"REGALADO",1
"REINA",1
"REMOON",0
"RENANDES",0
"RENDERO",0
"RENDEROS",1
"RENOEROS",0
"RESINO",1
"RESINOS",1
"REYES",1
"RIBAS",1
"RIBERA",1
"RIBERAR",0
"RIBERO",1
"RIOS",1
"ROANO",1
"ROBLE",0
"ROBLES",1
"ROCHAC",0
"RODAS",1
"RODRIGUES",1
"ROJAS",1
"ROJEL",1
"ROMAN",1
"ROMERO",1
"RONDA",1
"RONOUIYO",0
"RONQUIYO",1
"ROORIGUES",0
"ROSA",1
"ROSALES",1
"ROSAS",1
"RUBIO",1
"RUFINO",1
"RUIS",1
"RUSIOS",1
"S",0
"SAABEDRA",1
"SABRANO",0
"SACAPA",0
"SALAMA",1
"SALASAR",1
"SALBADOR",1
"SALDAFIA",1
"SALDAMA",0
"SALDANA",1
"SALES",1
"SALGADO",1
"SALGUERO",1
"SALIMAS",1
"SALINAS",1
"SAMBRANO",1
"SAMORA",1
"SAMORO",0
"SANCHES",1
"SANDOBAL",1
"SANTA",1
"SANTAMARIA",1
"SANTANA",1
"SANTOS",1
"SAORA",0
"SARABIA",1
"SARACAN",0
"SARRERA",0
"SAUSAR",0
"SCSA",0
"SEA",0
"SEBASTIAN",1
"SEBAYOS",1
"SEBERO",1
"SEGOBIA",1
"SEGUEDA",1
"SEGURA",1
"SELAYA",1
"SELTRAN",0
"SENON",1
"SENTENO",1
"SEPEDA",0
"SERMENO",1
"SERNA",1
"SERNABE",0
"SERPAS",0
"SERRANO",1
"SERRITOS",1
"SETINO",1
"SEUYA",0
"SIBAS",1
"SIBRIAM",0
"SIBRIAN",1
"SID",0
"SIGUENSA",1
"SIGUENSE",0
"SILBA",1
"SILIESAR",0
"SINGUENSA",0
"SINGUESA",0
"SIPRIAN",1
"SIRIACO",1
"SISNERO",0
"SISNEROS",1
"SOL",1
"SOLA",1
"SOLIS",1
"SOLORSANO",1
"SOLTOMIA",0
"SOMOSA",1
"SONA",0
"SONIYA",1
"SONIYAS",0
"SORIANA",1
"SORIANO",1
"SORTO",1
"SOSA",1
"SOTO",1
"SRRAO",0
"STEBEN",1
"SUARES",1
"SUBA",0
"SUFYGA",0
"SUIROS",1
"SUNAGA",1
"SUNIGA",1
"SURIA",1
"SURIAMO",0
"SURIANO",1
"TCBAR",0
"TCBIYAS",0
"TEJADA",1
"TEJAOA",0
"TICAS",1
"TOBAR",1
"TOBIAS",1
"TOBIYAS",1
"TOLEDO",1
"TORRES",1
"TREJO",1
"TRJO",0
"TRUJIYO",1
"TUACHON",0
"TURSICS",0
"TURSIO",1
"UESO",1
"UMANA",1
"UMANIA",0
"UMANSOR",1
"UNDABEROE",0
"UNDEBEROE",0
"URA",1
"URBIMA",0
"URBINA",1
"URIYAS",0
"URQUIA",1
